scheme_name,category_type,min_age,max_age,max_annual_income,applicable_state,social_category,occupation,gender,description,benefits,apply_link,deadline,form_link
Rural Housing Interest Subsidy Scheme,Housing,18.0,,600000.0,All,All,All,All,Interest subsidy on home loans for rural housing,Subsidy on housing loan interest rate,https://www.myscheme.gov.in,,
Jal Jeevan Mission,Rural Development,,,,All,All,All,All,Providing tap water connection to every rural household,Functional household tap water connections,https://www.myscheme.gov.in,,
Saansad Adarsh Gram Yojana,Rural Development,,,,All,All,All,All,Holistic development of model villages,Convergence of schemes for village development,https://www.myscheme.gov.in,,
Deendayal Antyodaya Yojana - NULM,Urban Development,18.0,,,All,All,BPL,All,Urban poverty alleviation programme,Self-employment and skill training support for urban poor,https://www.myscheme.gov.in,,
PM Surya Ghar Muft Bijli Yojana,Energy,,,,All,All,All,All,Rooftop solar scheme for households,Free electricity up to 300 units per month,https://pmsuryaghar.gov.in,,https://pmsuryaghar.gov.in
Saubhagya Scheme,Energy,,,,All,All,BPL,All,Universal household electrification scheme,Free electricity connections to poor households,https://www.myscheme.gov.in,,
Deendayal Upadhyaya Gram Jyoti Yojana,Energy,,,,All,All,All,All,Rural electrification and feeder separation,Continuous power supply to rural households,https://www.myscheme.gov.in,,
PM Ujjwala Yojana,Energy,18.0,,,All,BPL,All,Female,Free LPG connections to women from BPL households,Free gas connection with financial support for first refill,https://pmuy.gov.in,,https://pmuy.gov.in
PM-KUSUM,Energy,18.0,,,All,All,Farmer,All,Solar power scheme for farmers,Subsidy for solar pumps and grid-connected solar plants,https://www.myscheme.gov.in,,
UJALA Scheme,Energy,,,,All,All,All,All,Distribution of energy-efficient LED bulbs,LED bulbs at subsidized cost to households,https://www.myscheme.gov.in,,
Standalone Solar Pump Scheme,Energy,18.0,,,All,All,Farmer,All,Installation of solar-powered irrigation pumps,Subsidy up to 60% on solar pump cost,https://www.myscheme.gov.in,,
Ayushman Bharat (PM-JAY),Health,0.0,,250000.0,All,All,All,All,Health insurance cover for economically weaker families,Rs 5 lakh health cover per family per year for hospitalization,https://pmjay.gov.in,,https://pmjay.gov.in
Ayushman Bharat Health Infrastructure Mission,Health,,,,All,All,All,All,Strengthening of health infrastructure,Development of health and wellness infrastructure,https://www.myscheme.gov.in,,
Janani Suraksha Yojana,Health,18.0,,,All,BPL,All,Female,Safe motherhood intervention scheme,Cash assistance for institutional delivery,https://www.myscheme.gov.in,,
Janani Shishu Suraksha Karyakram,Health,,,,All,All,All,All,Free entitlements for pregnant women and sick infants,Free delivery including caesarean and free transport,https://www.myscheme.gov.in,,
PM Surakshit Matritva Abhiyan,Health,18.0,,,All,All,All,Female,Free antenatal care for pregnant women,Free health checkups on 9th of every month,https://www.myscheme.gov.in,,
Rashtriya Bal Swasthya Karyakram,Health,0.0,18.0,,All,All,Student,All,Child health screening and early intervention,Free health screening and treatment for children,https://www.myscheme.gov.in,,
National Health Mission,Health,,,,All,All,All,All,Universal access to equitable and affordable healthcare,Strengthening of public health systems,https://www.myscheme.gov.in,,
PM National Dialysis Programme,Health,,,,All,All,All,All,Free dialysis services for the poor,Free dialysis at government hospitals,https://www.myscheme.gov.in,,
Mission Indradhanush,Health,0.0,2.0,,All,All,All,All,Full immunization coverage for children and pregnant women,Free vaccination against preventable diseases,https://www.myscheme.gov.in,,
Revised National Tuberculosis Control Programme,Health,,,,All,All,All,All,Detection and treatment of tuberculosis,"Free TB diagnosis, treatment and nutritional support",https://www.myscheme.gov.in,,
National AIDS Control Programme,Health,,,,All,All,All,All,Prevention and control of HIV/AIDS,"Free testing, counselling and antiretroviral therapy",https://www.myscheme.gov.in,,
National Mental Health Programme,Health,,,,All,All,All,All,Mental healthcare services for all,Free mental health counselling and treatment,https://www.myscheme.gov.in,,
National Programme for Control of Blindness,Health,,,,All,All,All,All,Prevention and control of blindness,Free cataract surgery and eye care services,https://www.myscheme.gov.in,,
National Leprosy Eradication Programme,Health,,,,All,All,All,All,Detection and treatment of leprosy,Free multi-drug therapy for leprosy patients,https://www.myscheme.gov.in,,
e-Sanjeevani Telemedicine,Health,,,,All,All,All,All,Free online medical consultation service,Free doctor consultation via video call,https://esanjeevani.mohfw.gov.in,,
Ayushman Bharat Digital Mission,Health,,,,All,All,All,All,Digital health ID and records ecosystem,Unique digital health ID for every citizen,https://www.myscheme.gov.in,,
Central Government Health Scheme (CGHS),Health,,,,All,All,Government Employee,All,Comprehensive healthcare for central govt employees and pensioners,Cashless treatment at empanelled hospitals,https://www.myscheme.gov.in,,
Rashtriya Arogya Nidhi,Health,,,,All,BPL,All,All,Financial assistance for life threatening diseases,Financial assistance up to Rs 15 lakh for treatment,https://www.myscheme.gov.in,,
PM Bhartiya Janaushadhi Pariyojana,Health,,,,All,All,All,All,Affordable generic medicines through dedicated stores,Generic medicines at 50-90% lower cost,https://www.myscheme.gov.in,,
National Programme for Health Care of Elderly,Health,60.0,,,All,All,Senior Citizen,All,Dedicated healthcare services for elderly,Free geriatric health services at government facilities,https://www.myscheme.gov.in,,
Anemia Mukt Bharat,Health,,,,All,All,All,All,Reduction of anemia among vulnerable groups,Free iron and folic acid supplementation,https://www.myscheme.gov.in,,
Rashtriya Vayoshri Yojana,Health,60.0,,,All,BPL,Senior Citizen,All,Assistive devices for senior citizens,Free aids and assisted living devices,https://www.myscheme.gov.in,,
Beti Bachao Beti Padhao,Education/Savings,0.0,,,All,All,Student,Female,Awareness and welfare scheme for girl child,Awareness campaigns and welfare initiatives,https://www.myscheme.gov.in,,
Sukanya Samriddhi Yojana,Education/Savings,0.0,10.0,,All,All,All,Female,Small savings scheme for girl child education and marriage,High interest savings account with tax benefits under 80C,https://www.nsiindia.gov.in,,
Pradhan Mantri Matru Vandana Yojana,Health,18.0,45.0,200000.0,All,All,All,Female,Maternity benefit scheme for pregnant and lactating women,Rs 5000 cash benefit for first child,https://pmmvy.wcd.gov.in,,https://pmmvy.wcd.gov.in
Mission Shakti,Women Welfare,,,,All,All,All,Female,"Safety, security and empowerment of women",Umbrella scheme for women safety and empowerment,https://www.myscheme.gov.in,,
Mission Vatsalya,Child Welfare,0.0,18.0,,All,All,All,All,Child protection and welfare services,Support for children in difficult circumstances,https://www.myscheme.gov.in,,
Mission Poshan 2.0,Health,0.0,6.0,,All,All,All,All,Nutrition support for children and pregnant women,Supplementary nutrition and health services,https://www.myscheme.gov.in,,
Integrated Child Development Services,Child Welfare,0.0,6.0,,All,All,All,All,"Nutrition, health and pre-school education for children",Supplementary nutrition and health checkups,https://www.myscheme.gov.in,,
PM POSHAN (Mid Day Meal),Education,5.0,14.0,,All,All,Student,All,Free cooked meal for school children,Free cooked meal for children in government schools,https://www.myscheme.gov.in,,
Ujjawala Scheme,Women Welfare,,,,All,All,All,Female,Prevention of trafficking and rehabilitation of victims,"Rescue, rehabilitation and reintegration support",https://www.myscheme.gov.in,,
Swadhar Greh Scheme,Women Welfare,18.0,,,All,All,All,Female,Shelter and rehabilitation for women in difficult circumstances,"Shelter, food, clothing and counselling",https://www.myscheme.gov.in,,
Working Women Hostel Scheme,Women Welfare,18.0,,,All,All,Employed,Female,Safe accommodation for working women,Subsidized hostel accommodation near workplace,https://www.myscheme.gov.in,,
Mahila Shakti Kendra,Women Welfare,,,,All,All,All,Female,Community engagement for women empowerment,Skill development and awareness for rural women,https://www.myscheme.gov.in,,
Support to Training and Employment Programme for Women (STEP),Skill Development,16.0,,,All,All,Unemployed,Female,Skill training for economic empowerment of women,Free skill training and market linkage,https://www.myscheme.gov.in,,
One Stop Centre Scheme,Women Welfare,,,,All,All,All,Female,Support for women affected by violence,"Medical, legal and counselling assistance under one roof",https://www.myscheme.gov.in,,
PM CARES for Children Scheme,Child Welfare,0.0,18.0,,All,All,All,All,Support for children orphaned due to COVID-19,Financial support and education assistance,https://www.myscheme.gov.in,,
National Creche Scheme,Child Welfare,0.0,6.0,,All,All,All,All,Daycare facilities for children of working mothers,Free creche facility with nutrition and healthcare,https://www.myscheme.gov.in,,
Kishori Shakti Yojana,Child Welfare,11.0,18.0,,All,All,Student,Female,Empowerment of adolescent girls,"Nutrition, health education and vocational training",https://www.myscheme.gov.in,,
Indira Gandhi National Old Age Pension Scheme,Social Welfare,60.0,,,All,BPL,Senior Citizen,All,Pension for elderly persons below poverty line,Monthly pension of Rs 200-500,https://www.myscheme.gov.in,,
Indira Gandhi National Widow Pension Scheme,Social Welfare,40.0,79.0,,All,BPL,All,Female,Pension for widows below poverty line,Monthly pension assistance,https://www.myscheme.gov.in,,
Indira Gandhi National Disability Pension Scheme,Social Welfare,18.0,79.0,,All,BPL,Disabled,All,Pension for persons with severe disability,Monthly pension assistance,https://www.myscheme.gov.in,,
National Family Benefit Scheme,Social Welfare,18.0,,,All,BPL,All,All,Financial assistance to family on death of breadwinner,One-time assistance of Rs 20000,https://www.myscheme.gov.in,,
Atal Pension Yojana,Social Welfare,18.0,40.0,,All,All,Unorganized Worker,All,Pension scheme for unorganized sector workers,Guaranteed monthly pension of Rs 1000-5000 after 60,https://www.myscheme.gov.in,,
PM Shram Yogi Maandhan,Social Welfare,18.0,40.0,180000.0,All,All,Unorganized Worker,All,Pension scheme for unorganized workers,Rs 3000 monthly pension after age 60,https://www.myscheme.gov.in,,
PM Laghu Vyapari Maandhan Yojana,Social Welfare,18.0,40.0,,All,All,Trader,All,Pension scheme for small traders and shopkeepers,Rs 3000 monthly pension after age 60,https://www.myscheme.gov.in,,
National Pension Scheme for Traders,Social Welfare,18.0,40.0,,All,All,Trader,All,Old age protection for retail traders,Assured pension of Rs 3000 per month,https://www.myscheme.gov.in,,
PM Vaya Vandana Yojana,Social Welfare,60.0,,,All,All,Senior Citizen,All,Pension scheme for senior citizens,Guaranteed regular pension for 10 years,https://www.licindia.in,,
PM Jeevan Jyoti Bima Yojana,Insurance,18.0,50.0,,All,All,All,All,Life insurance scheme at low premium,Rs 2 lakh life cover at Rs 436 premium per year,https://jansuraksha.gov.in,,https://jansuraksha.gov.in
PM Suraksha Bima Yojana,Insurance,18.0,70.0,,All,All,All,All,Accident insurance scheme at low premium,Rs 2 lakh cover for accidental death at Rs 20 premium per year,https://jansuraksha.gov.in,,https://jansuraksha.gov.in
National Social Assistance Programme,Social Welfare,,,,All,BPL,All,All,Umbrella social security programme for the poor,"Pension, family benefit and maternity benefit support",https://www.myscheme.gov.in,,
e-Shram Portal,Social Welfare,16.0,59.0,,All,All,Unorganized Worker,All,National database of unorganized workers,Access to social security schemes and accident insurance,https://eshram.gov.in,,https://eshram.gov.in
PM Awas Yojana - Urban,Housing,18.0,,600000.0,All,All,All,All,Affordable housing scheme for urban poor and middle income groups,Interest subsidy on home loans up to Rs 2.67 lakh,https://pmaymis.gov.in,,https://pmaymis.gov.in
Credit Linked Subsidy Scheme,Housing,18.0,,1800000.0,All,All,All,All,Interest subsidy component of PMAY-U,Interest subsidy on housing loans,https://www.myscheme.gov.in,,
Affordable Rental Housing Complexes,Housing,18.0,,,All,All,Migrant Worker,All,Rental housing for urban migrants and poor,Affordable rental housing units,https://www.myscheme.gov.in,,
PM Kaushal Vikas Yojana,Skill Development,15.0,45.0,,All,All,Unemployed Youth,All,Skill development and training for youth,Free skill training with certification and placement,https://www.myscheme.gov.in,,
National Career Service,Employment,18.0,,,All,All,Unemployed,All,Career counselling and job matching platform,Free job matching and career counselling services,https://www.ncs.gov.in,,
Jan Shikshan Sansthan Scheme,Skill Development,15.0,,,All,All,Unemployed,All,Vocational skill training for non-literate and neo-literate persons,Free vocational training programmes,https://www.myscheme.gov.in,,
Craftsmen Training Scheme,Skill Development,14.0,,,All,All,Unemployed Youth,All,Industrial training for skilled workforce,Training through Industrial Training Institutes,https://www.myscheme.gov.in,,
National Apprenticeship Promotion Scheme,Skill Development,18.0,,,All,All,Unemployed Youth,All,Promotion of apprenticeship training,Reimbursement of stipend to employers,https://www.myscheme.gov.in,,
PM Vishwakarma Yojana,Skill Development,18.0,,,All,All,Artisan,All,Support for traditional artisans and craftspeople,"Skill training, toolkit incentive and collateral free loans",https://pmvishwakarma.gov.in,,https://pmvishwakarma.gov.in
PM SVANidhi,Financial Inclusion,18.0,,,All,All,Street Vendor,All,Micro credit facility for street vendors,Collateral free working capital loan up to Rs 50000,https://pmsvanidhi.mohua.gov.in,,https://pmsvanidhi.mohua.gov.in
Stand Up India Scheme,Financial Inclusion,18.0,,,All,SC/ST/Women,Entrepreneur,All,Bank loans for SC/ST and women entrepreneurs,Loans between Rs 10 lakh and Rs 1 crore,https://www.myscheme.gov.in,,
Startup India Seed Fund Scheme,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Financial assistance for early stage startups,Seed funding for proof of concept and prototype development,https://www.myscheme.gov.in,,
Fund of Funds for Startups,Financial Inclusion,,,,All,All,Entrepreneur,All,Equity funding support for startups through AIFs,Capital infusion into SEBI registered venture funds,https://www.myscheme.gov.in,,
Atal Innovation Mission,Skill Development,,,,All,All,Student,All,Promotion of innovation and entrepreneurship,Support for Atal Tinkering Labs and incubation centers,https://www.myscheme.gov.in,,
PM Mudra Yojana,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Collateral free loans for micro enterprises,Loans up to Rs 10 lakh without collateral,https://www.mudra.org.in,,
PM Employment Generation Programme,Financial Inclusion,18.0,,,All,All,Unemployed,All,Credit linked subsidy for setting up micro enterprises,Subsidy of 15-35% on project cost,https://www.myscheme.gov.in,,
PM Internship Scheme,Skill Development,21.0,24.0,800000.0,All,All,Unemployed Youth,All,Internship opportunities in top companies,Monthly stipend of Rs 5000 and one-time grant,https://www.myscheme.gov.in,,
Agnipath Scheme,Employment,17.0,21.0,,All,All,Unemployed Youth,All,Short-term recruitment scheme for armed forces,4-year tenure with training and financial package,https://www.myscheme.gov.in,,
Credit Guarantee Fund Trust for Micro and Small Enterprises,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Collateral free credit to MSEs,Credit guarantee cover up to Rs 5 crore,https://www.myscheme.gov.in,,
Interest Subvention Scheme for MSMEs,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Interest relief on loans to MSMEs,2% interest subvention on incremental credit,https://www.myscheme.gov.in,,
Udyam Registration Scheme,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Registration and recognition for MSMEs,Access to government schemes and subsidies,https://www.myscheme.gov.in,,
Cluster Development Programme (MSE-CDP),Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Infrastructure support for MSE clusters,Financial assistance for common facility centers,https://www.myscheme.gov.in,,
PM Rojgar Protsahan Yojana,Employment,18.0,,,All,All,Unemployed Youth,All,Incentive for employers to generate new employment,Reimbursement of employer's EPF and EPS contribution,https://www.myscheme.gov.in,,
National Means-cum-Merit Scholarship,Education,13.0,16.0,150000.0,All,All,Student,All,Scholarship for meritorious students from economically weaker sections,Rs 12000 per year scholarship,https://scholarships.gov.in,,https://scholarships.gov.in
National Scholarship Portal (Post Matric),Education,16.0,,250000.0,All,All,Student,All,Post matric scholarship for students from weaker sections,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Pre Matric Scholarship for SC Students,Education,6.0,16.0,250000.0,All,SC,Student,All,Scholarship for SC students in classes 9-10,Tuition fee reimbursement and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Post Matric Scholarship for SC Students,Education,16.0,,250000.0,All,SC,Student,All,Scholarship for SC students pursuing post matric education,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Pre Matric Scholarship for ST Students,Education,6.0,16.0,250000.0,All,ST,Student,All,Scholarship for ST students in classes 9-10,Tuition fee reimbursement and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Post Matric Scholarship for ST Students,Education,16.0,,250000.0,All,ST,Student,All,Scholarship for ST students pursuing post matric education,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Pre Matric Scholarship for OBC Students,Education,6.0,16.0,150000.0,All,OBC,Student,All,Scholarship for OBC students in classes 9-10,Tuition fee reimbursement and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Post Matric Scholarship for OBC Students,Education,16.0,,150000.0,All,OBC,Student,All,Scholarship for OBC students pursuing post matric education,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Pre Matric Scholarship for Minorities,Education,6.0,16.0,100000.0,All,Minority,Student,All,Scholarship for minority community students in classes 1-10,"Admission fee, tuition fee and maintenance allowance",https://scholarships.gov.in,,https://scholarships.gov.in
Post Matric Scholarship for Minorities,Education,16.0,,200000.0,All,Minority,Student,All,Scholarship for minority students in post matric courses,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Merit-cum-Means Scholarship for Minorities,Education,18.0,,250000.0,All,Minority,Student,All,Scholarship for professional and technical courses,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Maulana Azad National Fellowship,Education,21.0,,600000.0,All,Minority,Student,All,Fellowship for minority students pursuing M.Phil/PhD,Fellowship amount as per UGC norms,https://scholarships.gov.in,,https://scholarships.gov.in
Top Class Education Scheme for SC Students,Education,18.0,,800000.0,All,SC,Student,All,Scholarship for SC students in top-tier institutions,Full tuition fee and living expenses,https://scholarships.gov.in,,https://scholarships.gov.in
National Fellowship for SC Students,Education,21.0,,,All,SC,Student,All,Fellowship for SC students pursuing M.Phil/PhD,Fellowship as per UGC norms,https://scholarships.gov.in,,https://scholarships.gov.in
National Overseas Scholarship for SC/ST Students,Education,18.0,35.0,800000.0,All,SC/ST,Student,All,Financial assistance for overseas higher education,"Full tuition, living and travel expenses",https://scholarships.gov.in,,https://scholarships.gov.in
Dr Ambedkar Interest Subsidy Scheme for Overseas Education Loan,Education,18.0,,800000.0,All,OBC/EBC,Student,All,Interest subsidy on education loans for overseas studies,Full interest subsidy during moratorium period,https://www.myscheme.gov.in,,
Eklavya Model Residential Schools,Education,11.0,18.0,,All,ST,Student,All,Quality residential education for tribal students,Free residential schooling with hostel facility,https://www.myscheme.gov.in,,
National Fellowship for ST Students,Education,21.0,,,All,ST,Student,All,Fellowship for ST students pursuing M.Phil/PhD,Fellowship as per UGC norms,https://scholarships.gov.in,,https://scholarships.gov.in
Van Dhan Yojana,Skill Development,18.0,,,All,ST,Tribal,All,Livelihood generation for tribal forest produce gatherers,Value addition training and market linkage,https://www.myscheme.gov.in,,
AICTE Pragati Scholarship for Girls,Education,18.0,,800000.0,All,All,Student,Female,Scholarship for girl students in technical education,Rs 50000 per year scholarship,https://www.myscheme.gov.in,,
AICTE Saksham Scholarship for Specially Abled,Education,18.0,,800000.0,All,All,Student,All,Scholarship for specially abled technical students,Rs 50000 per year scholarship,https://www.myscheme.gov.in,,
PM YASASVI Scheme,Education,13.0,,250000.0,All,OBC/EBC/DNT,Student,All,"Scholarship scheme for OBC, EBC and DNT students",Scholarship for classes 9-12 and top-class institutions,https://scholarships.gov.in,,https://scholarships.gov.in
Central Sector Scheme of Scholarship for College Students,Education,18.0,,,All,All,Student,All,Scholarship for meritorious students in college/university,Rs 12000 per year scholarship,https://scholarships.gov.in,,https://scholarships.gov.in
PM Vidyalaxmi Scheme,Education,18.0,,,All,All,Student,All,Education loan facility for higher education,Collateral-free education loans with interest subvention,https://www.myscheme.gov.in,,
Credit Guarantee Fund Scheme for Education Loans,Education,18.0,,,All,All,Student,All,Guarantee cover for education loans without collateral,Credit guarantee up to Rs 7.5 lakh,https://www.myscheme.gov.in,,
Nai Roshni Scheme,Skill Development,18.0,,,All,Minority,Women,Female,Leadership development for minority women,Leadership training and awareness programmes,https://www.myscheme.gov.in,,
Nai Manzil Scheme,Skill Development,17.0,35.0,,All,Minority,Unemployed Youth,All,Education and skill training for minority youth,Bridge education and skill training with placement,https://www.myscheme.gov.in,,
Seekho Aur Kamao Scheme,Skill Development,14.0,35.0,,All,Minority,Unemployed Youth,All,Skill development for minority youth,Free skill training with stipend and placement,https://www.myscheme.gov.in,,
USTTAD Scheme,Skill Development,18.0,,,All,Minority,Artisan,All,Upgradation of traditional skills and crafts of minorities,Training and marketing support for artisans,https://www.myscheme.gov.in,,
Samagra Shiksha Abhiyan,Education,6.0,18.0,,All,All,Student,All,Integrated scheme for school education,"Free education, uniforms, textbooks and infrastructure support",https://www.myscheme.gov.in,,
Padhna Likhna Abhiyan,Education,15.0,,,All,All,All,All,Adult literacy programme,Free adult literacy classes,https://www.myscheme.gov.in,,
Ishan Uday Scholarship,Education,18.0,,450000.0,All,All,Student,All,Special scholarship scheme for North Eastern Region students,Scholarship for undergraduate courses,https://scholarships.gov.in,,https://scholarships.gov.in
Top Class Education Scheme for ST Students,Education,18.0,,600000.0,All,ST,Student,All,Scholarship for ST students in top-tier institutions,Full tuition fee and living expenses,https://scholarships.gov.in,,https://scholarships.gov.in
Digital India Programme,Digital Services,,,,All,All,All,All,Transformation of India into a digitally empowered society,"Digital infrastructure, services and literacy",https://www.digitalindia.gov.in,,
PM Jan Dhan Yojana,Financial Inclusion,10.0,,,All,All,All,All,Financial inclusion programme for universal banking access,Zero balance bank account with RuPay debit card and insurance,https://www.myscheme.gov.in,,
One Nation One Ration Card,Food Security,,,,All,BPL,All,All,Portability of ration card benefits across India,Access to subsidized food grains from any fair price shop,https://www.myscheme.gov.in,,
Common Services Centre Scheme,Digital Services,18.0,,,All,All,Entrepreneur,All,Digital service delivery points in rural areas,Access to government and financial services locally,https://www.myscheme.gov.in,,
BharatNet Programme,Digital Services,,,,All,All,All,All,Broadband connectivity to rural areas,High-speed internet connectivity to gram panchayats,https://www.myscheme.gov.in,,
PM Gramin Digital Saksharta Abhiyan,Skill Development,14.0,60.0,,All,All,All,All,Digital literacy for rural households,Free digital literacy training,https://www.myscheme.gov.in,,
Assistance to Disabled Persons for Purchase/Fitting of Aids (ADIP),Disability Welfare,,,,All,All,Disabled,All,Aids and appliances for persons with disabilities,Free or subsidized assistive devices,https://www.myscheme.gov.in,,
Deendayal Disabled Rehabilitation Scheme,Disability Welfare,,,,All,All,Disabled,All,Rehabilitation services for persons with disabilities,Grant-in-aid to NGOs for rehabilitation services,https://www.myscheme.gov.in,,
National Fellowship and Scholarship for Persons with Disabilities,Education,18.0,,,All,All,Disabled,All,Fellowship for disabled students pursuing higher education,Fellowship as per UGC norms,https://www.myscheme.gov.in,,
Venture Capital Fund for Scheduled Castes,Financial Inclusion,18.0,,,All,SC,Entrepreneur,All,Equity support for SC entrepreneurs,Venture capital funding for SC-owned enterprises,https://www.myscheme.gov.in,,
Credit Enhancement Guarantee Scheme for Scheduled Castes,Financial Inclusion,18.0,,,All,SC,Entrepreneur,All,Credit guarantee for SC entrepreneurs,Guarantee cover to encourage bank lending to SC entrepreneurs,https://www.myscheme.gov.in,,
National Safai Karamcharis Finance and Development Corporation Schemes,Financial Inclusion,18.0,,,All,SC,Sanitation Worker,All,Financial assistance for sanitation workers and their families,Concessional loans for self-employment,https://www.myscheme.gov.in,,
